,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,minutestamp,PC0,PC1
0,0.549,0.433,-8.526,0.0327,0.906,0.0108,0.0774,0.486,116.068,2.5846666666666667,0.11599258721726141,0.03852406775200246
1,0.385,0.283,-8.013,0.0546,0.78,0.0,0.0726,0.557,179.547,5.87845,0.11448926662162771,-0.7756965677150176
2,0.427,0.374,-9.925,0.0759,0.98,0.0,0.382,0.436,79.116,10.213783333333334,0.4075981442689064,2.3350490683200094
3,0.289,0.218,-8.587,0.0387,0.964,0.000132,0.132,0.114,109.513,13.513333333333334,1.5177083880006692,0.3987623801274903
4,0.258,0.357,-8.713,0.0294,0.789,7.39e-06,0.0812,0.224,94.451,17.018883333333335,1.179329234927643,0.10312521946968209
5,0.492,0.466,-6.766,0.0381,0.821,0.0,0.164,0.627,105.319,21.568666666666665,-0.3331678972070263,0.48871295642150875
6,0.317,0.236,-9.514,0.0358,0.896,0.0,0.229,0.413,186.387,25.129333333333335,0.6550368588275518,-0.40382576450334506
7,0.344,0.404,-7.478,0.0358,0.829,0.0,0.27,0.441,80.778,28.2457,0.39344124880396664,1.1867945090434853
8,0.478,0.389,-8.54,0.0546,0.779,6.66e-06,0.193,0.61,89.765,31.226366666666667,-0.057400438215025176,1.045360287611815
9,0.237,0.285,-20.239,0.041,0.793,0.976,0.0897,0.0388,140.36,35.28053333333333,3.4597562661702916,-0.6406471811391826
10,0.257,0.185,-27.557,0.0743,0.847,0.635,0.118,0.0681,75.864,36.89853333333333,4.026067102885446,1.2320452738956997
11,0.36,0.644,-9.91,0.037,0.0286,0.849,0.0857,0.329,120.812,43.146033333333335,0.42662576582399514,-1.4147251935231835
12,0.369,0.797,-6.829,0.0466,0.000142,0.87,0.0624,0.101,122.045,48.11025,0.14251782875769073,-1.665167914212549
13,0.366,0.417,-10.763,0.0383,0.959,0.913,0.0866,0.0399,79.656,53.52446666666667,2.4482559331596674,0.24125372422052885
14,0.27,0.5,-6.865,0.0308,0.166,0.899,0.076,0.0573,97.544,63.3658,1.25494070154005,-1.1340748629166264
15,0.431,0.814,-6.845,0.0545,0.00809,0.0254,0.0976,0.0738,119.997,68.28268333333334,-0.9273147315991948,-1.0715543973216592
16,0.361,0.824,-6.037,0.0631,0.000591,0.0486,0.106,0.0985,120.666,76.02713333333334,-0.9264490773523698,-0.9976282825164832
17,0.184,0.613,-7.037,0.0337,0.0265,0.624,0.277,0.0746,127.61,83.83558333333333,0.4582697336999413,-0.9240472079794819
18,0.0855,0.483,-10.508,0.0399,0.301,0.795,0.102,0.112,81.268,94.13003333333333,1.9741348348270646,-0.4504928923572002
19,0.21,0.629,-7.102,0.0383,0.328,0.842,0.0988,0.127,74.873,101.30003333333333,1.2426702224556114,-0.4757531552427191
20,0.196,0.686,-7.025,0.0346,0.0302,0.675,0.189,0.102,120.269,109.10803333333334,0.4504457816374388,-1.1737627469951273
21,0.135,0.473,-9.112,0.0449,0.517,0.876,0.249,0.126,88.73,115.87448333333333,1.847381901836084,0.23957697918816342
22,0.14,0.141,-19.327,0.0403,0.844,0.846,0.12,0.0396,73.649,123.70781666666667,3.9724879486636233,0.6306783843904231
23,0.185,0.445,-10.705,0.0319,0.711,0.908,0.106,0.0396,108.052,132.0187,2.4047444721328675,-0.5211490140091068
24,0.188,0.233,-13.496,0.0341,0.938,0.875,0.148,0.0365,97.336,138.14825,3.209296261325316,0.24609336124814035
25,0.167,0.353,-10.714,0.0326,0.852,0.914,0.447,0.035,136.219,144.76003333333333,2.28119543362441,0.5233295663209285
26,0.294,0.467,-7.834,0.0413,0.0462,0.941,0.0858,0.381,141.447,149.84315,0.6271273699913125,-1.6386881583648842
27,0.12,0.5,-9.249,0.0379,0.706,0.848,0.0976,0.0393,84.435,156.45736666666667,2.3287002830477967,-0.17570125525811248
28,0.215,0.246,-13.514,0.0377,0.711,0.968,0.0967,0.0369,115.564,164.19691666666668,2.964017600305104,-0.4626742628856011
29,0.183,0.32,-11.082,0.0364,0.77,0.934,0.183,0.0298,128.466,170.44736666666665,2.578910826836933,-0.370727934619297
30,0.537,0.402,-7.674,0.0261,0.621,0.0228,0.135,0.173,136.937,177.08336666666668,0.11792871510083919,-0.5627878406978525
31,0.315,0.702,-6.328,0.0343,0.0555,0.108,0.315,0.184,139.458,181.56181666666666,-0.7858985025245873,-0.7108000169270948
32,0.156,0.392,-8.945,0.0326,0.564,0.47,0.113,0.193,80.439,190.98298333333332,1.6740665091640565,-0.003774406856464713
33,0.334,0.454,-10.787,0.0357,0.267,0.246,0.116,0.0403,123.902,196.23831666666666,0.8271289373195921,-0.8605085042469771
34,0.327,0.524,-7.891,0.0295,0.0409,0.819,0.486,0.115,102.094,203.88765,0.44618377843047063,0.25420234043372214
35,0.3,0.627,-6.039,0.0343,0.0154,0.727,0.0855,0.165,77.906,208.89543333333333,0.47568927051576426,-0.888027334164574
36,0.33,0.469,-7.655,0.03,0.429,0.724,0.0863,0.0936,120.701,215.05565,1.193740754091046,-1.0507870075357957
37,0.297,0.434,-10.284,0.0314,0.363,0.894,0.0642,0.0667,139.945,217.34586666666667,1.6546392488759216,-1.501763571252683
38,0.49,0.628,-9.435,0.0298,0.54,0.948,0.116,0.106,110.282,222.25825,1.097312116567759,-0.7608312876586824
39,0.202,0.492,-11.579,0.0455,0.315,0.758,0.0934,0.227,132.343,230.3098,1.4241031354696285,-1.0870555621639226
40,0.156,0.433,-8.695,0.0337,0.112,0.93,0.128,0.034,133.796,239.6078,1.5767443706926172,-1.5001219694128969
41,0.227,0.0682,-16.747,0.0411,0.84,0.67,0.0777,0.126,111.98,243.77358333333333,3.2608632058374765,0.004829075483287856
42,0.401,0.349,-11.843,0.0292,0.764,0.0346,0.0696,0.124,128.857,251.70425,1.1959370076600115,-0.4484033378269677
43,0.191,0.479,-11.837,0.0439,0.326,0.765,0.0916,0.208,133.237,259.75646666666665,1.5406692030659277,-1.1147963920176123
44,0.157,0.268,-9.128,0.0345,0.75,0.171,0.117,0.0731,142.966,265.2609166666667,1.6728997598785253,-0.5805664320328487
45,0.38,0.727,-5.073,0.03,1.51e-05,0.101,0.368,0.196,105.055,270.3118,-1.0683046275596557,-0.1060477071293103
46,0.21,0.335,-15.059,0.0585,0.891,0.873,0.629,0.107,64.447,278.98625,2.52437498804573,2.786110421349405
47,0.467,0.609,-7.893,0.0326,0.657,0.00379,0.0887,0.295,117.977,283.68825,-0.10337170966047082,-0.40790618851575405
48,0.24,0.802,-6.814,0.0613,0.0646,0.922,0.114,0.369,74.534,289.9538,0.26170095435684093,-0.46741029380666976
49,0.217,0.627,-9.015,0.052,0.541,0.746,0.111,0.0555,106.769,300.02891666666665,1.4345393146215424,-0.4838442667355964
50,0.136,0.117,-9.714,0.0376,0.68,0.000175,0.326,0.0356,172.225,304.95253333333335,1.4718287882030412,-0.1446532894651697
51,0.0631,0.347,-14.486,0.0396,0.824,0.811,0.265,0.036,35.11,308.19603333333333,3.288228760224456,1.5289616049926171
52,0.221,0.131,-23.169,0.04,0.96,0.922,0.0861,0.0375,119.024,315.8374,4.233544127059278,-0.007122768639130502
