,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,minutestamp,PC0,PC1
0,0.336,0.044,-29.255,0.0456,0.982,0.96,0.221,0.0666,90.243,2.8740666666666668,6.0722206732412625,1.6692276381595574
1,0.447,0.449,-10.634,0.0376,0.934,0.961,0.0697,0.036,92.468,8.131183333333333,3.299471203812974,0.3721809712208628
2,0.136,0.164,-18.756,0.0364,0.911,0.916,0.109,0.071,58.303,10.9123,5.379774732252834,1.3654672672586001
3,0.305,0.46,-9.463,0.0295,0.00468,0.38,0.0777,0.41,128.414,13.734516666666666,1.2305011502547198,-1.1274013374192275
4,0.307,0.136,-12.474,0.0341,0.928,0.0122,0.109,0.166,110.01,16.473233333333333,3.1702194667640673,0.7337691240086247
5,0.476,0.244,-8.361,0.0997,0.915,0.0,0.0975,0.36,177.688,20.21035,1.4469902314041616,-0.09183480913370379
6,0.4,0.525,-11.294,0.0435,0.887,0.00543,0.117,0.408,146.977,24.427233333333334,1.5744523596388422,-0.021550976294001368
7,0.583,0.598,-6.711,0.0262,0.0558,1.52e-05,0.0988,0.796,85.625,27.870116666666668,-0.5547133966911868,-0.03571741948853693
8,0.426,0.128,-11.813,0.0392,0.711,0.00297,0.185,0.207,148.952,32.72366666666667,2.263635495533862,0.13376830245033855
9,0.534,0.251,-11.58,0.0351,0.881,0.596,0.143,0.298,113.983,35.381233333333334,2.6418053269232016,0.5498806972273976
10,0.489,0.758,-6.491,0.0297,0.000678,0.49,0.092,0.435,112.113,41.57145,0.09138623730563841,-0.9986174529810302
11,0.538,0.774,-7.359,0.0484,0.0164,0.265,0.0685,0.249,127.107,46.00345,-0.01464221366522309,-1.1583593215097117
12,0.33,0.554,-6.528,0.0547,0.0942,0.0,0.0847,0.235,169.112,49.552616666666665,0.3987433837477949,-1.574239440445707
13,0.532,0.328,-6.162,0.039,0.865,0.0,0.146,0.355,72.635,52.77355,1.454459124526871,1.394044581643528
14,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,56.46288333333333,0.6142372819770646,-0.22621462498651845
15,0.56,0.473,-7.23,0.0533,0.618,0.0,0.31,0.441,109.414,59.3853,0.4773717635199973,1.1173952800786844
16,0.566,0.885,-4.528,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,63.26685,-0.9893971832578603,0.7933111221119563
17,0.71,0.658,-8.31,0.0285,0.0358,0.00913,0.147,0.929,100.017,66.34151666666666,-1.0911499841819732,-0.05155137332287276
18,0.405,0.751,-3.608,0.0392,0.377,0.0,0.0958,0.762,120.807,69.76996666666666,-0.5220919326249148,-0.4212833948456145
19,0.641,0.797,-6.536,0.0431,0.00357,3.25e-05,0.0279,0.655,94.884,74.96818333333333,-0.9558172600970964,-0.5484049187907678
20,0.575,0.877,-4.946,0.0455,0.063,0.0,0.137,0.775,76.857,77.87818333333334,-1.2303101057862798,0.2029676195163304
21,0.45,0.656,-7.049,0.0472,0.664,3.02e-06,0.259,0.782,106.61,82.66663333333334,0.08628210948732093,0.966280912694153
22,0.492,0.76,-6.388,0.0312,0.0169,0.00087,0.201,0.642,166.018,86.40371666666667,-1.0125494659824863,-1.2981138613165117
23,0.572,0.899,-6.485,0.58,0.52,0.0,0.692,0.552,86.472,91.72126666666666,-2.073567164847903,6.422034379458539
