,track.name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_number_inlist,minutestamp,original_playlist,PC0,PC1
0,A Model of the Universe,0.336,0.044,7,-29.255,0,0.0456,0.982,0.96,0.221,0.0666,90.243,audio_features,5ay0cvjtVAbMLOe8gTadFh,spotify:track:5ay0cvjtVAbMLOe8gTadFh,https://api.spotify.com/v1/tracks/5ay0cvjtVAbMLOe8gTadFh,https://api.spotify.com/v1/audio-analysis/5ay0cvjtVAbMLOe8gTadFh,172444,4,1,2.8740666666666668,PCP_Marathon,6.0722206732412625,1.6692276381595574
1,Experience,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,audio_features,1BncfTJAWxrsxyT9culBrj,spotify:track:1BncfTJAWxrsxyT9culBrj,https://api.spotify.com/v1/tracks/1BncfTJAWxrsxyT9culBrj,https://api.spotify.com/v1/audio-analysis/1BncfTJAWxrsxyT9culBrj,315427,4,2,8.131183333333333,PCP_Marathon,3.299471203812974,0.3721809712208628
2,"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,audio_features,2xizRhme7pYeITbH1NLLGt,spotify:track:2xizRhme7pYeITbH1NLLGt,https://api.spotify.com/v1/tracks/2xizRhme7pYeITbH1NLLGt,https://api.spotify.com/v1/audio-analysis/2xizRhme7pYeITbH1NLLGt,166867,4,3,10.9123,PCP_Marathon,5.379774732252834,1.3654672672586001
3,La Vida Es Bella - La Vida Es Bella,0.305,0.46,2,-9.463,1,0.0295,0.00468,0.38,0.0777,0.41,128.414,audio_features,5sgRJe0Z1ol9wvSSsXcGaf,spotify:track:5sgRJe0Z1ol9wvSSsXcGaf,https://api.spotify.com/v1/tracks/5sgRJe0Z1ol9wvSSsXcGaf,https://api.spotify.com/v1/audio-analysis/5sgRJe0Z1ol9wvSSsXcGaf,169333,4,4,13.734516666666666,PCP_Marathon,1.2305011502547198,-1.1274013374192275
4,I'm on Fire,0.307,0.136,3,-12.474,1,0.0341,0.928,0.0122,0.109,0.166,110.01,audio_features,7uMVMpAmxxq44QskyMoUU9,spotify:track:7uMVMpAmxxq44QskyMoUU9,https://api.spotify.com/v1/tracks/7uMVMpAmxxq44QskyMoUU9,https://api.spotify.com/v1/audio-analysis/7uMVMpAmxxq44QskyMoUU9,164323,3,5,16.473233333333333,PCP_Marathon,3.1702194667640673,0.7337691240086247
5,Confieso,0.476,0.244,9,-8.361,1,0.0997,0.915,0.0,0.0975,0.36,177.688,audio_features,44kI7aJvJAYJkREVk0Rmei,spotify:track:44kI7aJvJAYJkREVk0Rmei,https://api.spotify.com/v1/tracks/44kI7aJvJAYJkREVk0Rmei,https://api.spotify.com/v1/audio-analysis/44kI7aJvJAYJkREVk0Rmei,224227,4,6,20.21035,PCP_Marathon,1.4469902314041616,-0.09183480913370379
6,Youth,0.4,0.525,0,-11.294,1,0.0435,0.887,0.00543,0.117,0.408,146.977,audio_features,4AmcmraFjVzFb9SQDNTRyl,spotify:track:4AmcmraFjVzFb9SQDNTRyl,https://api.spotify.com/v1/tracks/4AmcmraFjVzFb9SQDNTRyl,https://api.spotify.com/v1/audio-analysis/4AmcmraFjVzFb9SQDNTRyl,253013,4,7,24.427233333333334,PCP_Marathon,1.5744523596388422,-0.021550976294001368
7,To Love Somebody,0.583,0.598,11,-6.711,1,0.0262,0.0558,1.52e-05,0.0988,0.796,85.625,audio_features,7mjBKozKUvm61MhNTyuFnZ,spotify:track:7mjBKozKUvm61MhNTyuFnZ,https://api.spotify.com/v1/tracks/7mjBKozKUvm61MhNTyuFnZ,https://api.spotify.com/v1/audio-analysis/7mjBKozKUvm61MhNTyuFnZ,206573,4,8,27.870116666666668,PCP_Marathon,-0.5547133966911868,-0.03571741948853693
8,What About Us,0.426,0.128,8,-11.813,1,0.0392,0.711,0.00297,0.185,0.207,148.952,audio_features,2lQgiAms2b5vLQMZZ0ypQk,spotify:track:2lQgiAms2b5vLQMZZ0ypQk,https://api.spotify.com/v1/tracks/2lQgiAms2b5vLQMZZ0ypQk,https://api.spotify.com/v1/audio-analysis/2lQgiAms2b5vLQMZZ0ypQk,291213,5,9,32.72366666666667,PCP_Marathon,2.263635495533862,0.13376830245033855
9,Sign of the Times - Stripped,0.534,0.251,0,-11.58,1,0.0351,0.881,0.596,0.143,0.298,113.983,audio_features,0uaJBwwtP6FMqdDpHYNOk0,spotify:track:0uaJBwwtP6FMqdDpHYNOk0,https://api.spotify.com/v1/tracks/0uaJBwwtP6FMqdDpHYNOk0,https://api.spotify.com/v1/audio-analysis/0uaJBwwtP6FMqdDpHYNOk0,159454,4,10,35.381233333333334,PCP_Marathon,2.6418053269232016,0.5498806972273976
